Subject,Mean_r,Median_r,Q25_r,Q75_r,Minimum_r,SD_r,N_valid,IQR_r
271,0.99244547,0.99263084,0.9918181300163269,0.9926960468292236,0.991786,0.0005743262,5,0.992 - 0.993
272,0.9908797,0.9912156,0.9904616475105286,0.991706907749176,0.98906237,0.0010416111,5,0.99 - 0.992
273,0.9905407,0.99083793,0.9899271726608276,0.9912205338478088,0.9894973,0.00070396974,5,0.99 - 0.991
274,0.9947071,0.9952946,0.9937617182731628,0.995359480381012,0.9935726,0.0008553366,5,0.994 - 0.995
275,0.9932308,0.99357194,0.9927033185958862,0.9935967922210693,0.9925435,0.00050176296,5,0.993 - 0.994
276,0.994872,0.99559987,0.9930059909820557,0.9963629245758057,0.99259776,0.0017377574,5,0.993 - 0.996
277,0.994211,0.9944776,0.9938660860061646,0.9945741295814514,0.99347126,0.0004639725,5,0.994 - 0.995
278,0.99335796,0.9935876,0.9930598735809326,0.9936257004737854,0.992857,0.00033323347,5,0.993 - 0.994
279,0.99377644,0.9936406,0.9932727217674255,0.9943854212760925,0.9926464,0.00080827373,5,0.993 - 0.994
280,0.99272126,0.99241084,0.9923400282859802,0.9932795763015747,0.9921211,0.00053883373,5,0.992 - 0.993
281,0.9934513,0.99363935,0.9934768080711365,0.9938023090362549,0.9922983,0.0006057804,5,0.993 - 0.994
282,0.99204224,0.9923502,0.9914419651031494,0.9924689531326294,0.99137384,0.00052331894,5,0.991 - 0.992
283,0.9947217,0.99507684,0.9937009215354919,0.995522141456604,0.9935669,0.0009147137,5,0.994 - 0.996
284,0.9914373,0.9914919,0.9912394881248474,0.9917272329330444,0.99075645,0.00041844265,5,0.991 - 0.992
285,0.9928727,0.99306595,0.9930205345153809,0.9931139945983887,0.99199396,0.0004421556,5,0.993 - 0.993
286,0.9937986,0.9936342,0.9934660196304321,0.9943973422050476,0.9927933,0.00068174506,5,0.993 - 0.994
287,0.9936061,0.9943176,0.9921554923057556,0.9944551587104797,0.9921274,0.0012158558,5,0.992 - 0.994
288,0.99500275,0.9947561,0.9946900010108948,0.9953849911689758,0.99448407,0.000459918,5,0.995 - 0.995
289,0.99235344,0.99260485,0.9913983941078186,0.9930617213249207,0.9913764,0.0008218432,5,0.991 - 0.993
290,0.99304026,0.99319893,0.9928656220436096,0.9935182929039001,0.9917596,0.0007202945,5,0.993 - 0.994
291,0.9928764,0.9929369,0.992317259311676,0.993377685546875,0.99192435,0.00068925205,5,0.992 - 0.993
